date,route,city,price,prev_price,delta,delta_pct,window_n,low,high,pct_rank,flag
2026-06-21,BKK-DAD,Da Nang,4437,4437,0,0.0,9,4074,4437,87.5,high in 9
2026-06-21,BKK-HAN,Hanoi,4754,4754,0,0.0,9,4691,4865,25.0,
2026-06-21,BKK-HKT,Phuket,1291,1262,29,2.3,9,906,1291,100.0,high in 9
2026-06-21,BKK-HND,Tokyo (Haneda),11253,11899,-646,-5.4,9,11253,12922,0.0,low in 9
2026-06-21,BKK-KBV,Krabi,1428,1428,0,0.0,9,970,1819,25.0,
2026-06-21,BKK-KIX,Osaka,10882,10878,4,0.0,9,10742,11022,75.0,
2026-06-21,BKK-NRT,Tokyo (Narita),11254,11254,0,0.0,9,8767,11254,75.0,high in 9
2026-06-21,BKK-PEK,Beijing,9670,9169,501,5.5,9,8761,9670,100.0,high in 9
2026-06-21,BKK-PVG,Shanghai,6788,6788,0,0.0,9,6788,7669,0.0,low in 9
2026-06-21,BKK-SGN,Ho Chi Minh City,5017,5015,2,0.0,9,5015,5363,12.5,
2026-06-22,BKK-CAN,Guangzhou,6354,6354,0,0.0,10,6354,7060,0.0,low in 10
2026-06-22,BKK-CEI,Chiang Rai,2672,2672,0,0.0,10,2356,2672,88.9,high in 10
2026-06-22,BKK-CNX,Chiang Mai,2251,2251,0,0.0,10,2152,2553,66.7,
2026-06-22,BKK-DAD,Da Nang,4437,4437,0,0.0,10,4074,4437,77.8,high in 10
2026-06-22,BKK-HAN,Hanoi,4754,4754,0,0.0,10,4691,4865,22.2,
2026-06-22,BKK-HKT,Phuket,1378,1291,87,6.7,10,906,1378,100.0,high in 10
2026-06-22,BKK-HND,Tokyo (Haneda),11253,11253,0,0.0,10,11253,12922,0.0,low in 10
2026-06-22,BKK-KBV,Krabi,1428,1428,0,0.0,10,970,1819,22.2,
2026-06-22,BKK-KIX,Osaka,10882,10882,0,0.0,10,10742,11022,66.7,
2026-06-22,BKK-NRT,Tokyo (Narita),11254,11254,0,0.0,10,8767,11254,66.7,high in 10
2026-06-22,BKK-PEK,Beijing,9200,9670,-470,-4.9,10,8761,9670,88.9,
2026-06-22,BKK-PVG,Shanghai,7216,6788,428,6.3,10,6788,7669,55.6,
2026-06-22,BKK-SGN,Ho Chi Minh City,5017,5017,0,0.0,10,5015,5363,11.1,
2026-06-23,BKK-CAN,Guangzhou,6354,6354,0,0.0,11,6354,7060,0.0,low in 11
2026-06-23,BKK-CEI,Chiang Rai,2672,2672,0,0.0,11,2356,2672,80.0,high in 11
2026-06-23,BKK-CNX,Chiang Mai,2638,2251,387,17.2,11,2152,2638,100.0,high in 11
2026-06-23,BKK-DAD,Da Nang,4437,4437,0,0.0,11,4074,4437,70.0,high in 11
2026-06-23,BKK-HAN,Hanoi,4911,4754,157,3.3,11,4691,4911,100.0,high in 11
2026-06-23,BKK-HKT,Phuket,1479,1378,101,7.3,11,906,1479,100.0,high in 11
2026-06-23,BKK-HND,Tokyo (Haneda),11253,11253,0,0.0,11,11253,12922,0.0,low in 11
2026-06-23,BKK-KBV,Krabi,1428,1428,0,0.0,11,970,1819,20.0,
2026-06-23,BKK-KIX,Osaka,10882,10882,0,0.0,11,10742,11022,60.0,
2026-06-23,BKK-NRT,Tokyo (Narita),11140,11254,-114,-1.0,11,8767,11254,60.0,
2026-06-23,BKK-PEK,Beijing,8810,9200,-390,-4.2,11,8761,9670,50.0,
2026-06-23,BKK-PVG,Shanghai,7192,7216,-24,-0.3,11,6788,7669,50.0,
2026-06-23,BKK-SGN,Ho Chi Minh City,5017,5017,0,0.0,11,5015,5363,10.0,
